DATUM;VOLT-E ESO;MENNYI ESO
2024.04.25;HAMIS;0
2024.04.26;HAMIS;0
2024.04.27;HAMIS;0
2024.04.28;HAMIS;0
2024.04.29;IGAZ;72
2024.04.30;HAMIS;0
2024.05.01;IGAZ;36
2024.05.02;HAMIS;0
2024.05.03;HAMIS;0
2024.05.04;HAMIS;0
2024.05.05;IGAZ;92
2024.05.06;HAMIS;0
2024.05.07;HAMIS;0
2024.05.08;HAMIS;0
2024.05.09;HAMIS;0
2024.05.10;HAMIS;0
2024.05.11;HAMIS;0
2024.05.12;HAMIS;0
2024.05.13;HAMIS;0
2024.05.14;HAMIS;0
2024.05.15;IGAZ;54
2024.05.16;HAMIS;0
2024.05.17;HAMIS;0
2024.05.18;HAMIS;0
2024.05.19;HAMIS;0
2024.05.20;HAMIS;0
2024.05.21;IGAZ;2
2024.05.22;HAMIS;0
2024.05.23;HAMIS;0
2024.05.24;HAMIS;0
2024.05.25;HAMIS;0
2024.05.26;HAMIS;0
2024.05.27;HAMIS;0
2024.05.28;HAMIS;0
2024.05.29;HAMIS;0
2024.05.30;HAMIS;0
2024.05.31;HAMIS;0
2024.06.01;HAMIS;0
2024.06.02;IGAZ;21
2024.06.03;HAMIS;0
2024.06.04;HAMIS;0
2024.06.05;HAMIS;0
2024.06.06;HAMIS;0
2024.06.07;HAMIS;0
2024.06.08;HAMIS;0
2024.06.09;HAMIS;0
2024.06.10;HAMIS;0
2024.06.11;HAMIS;0
2024.06.12;HAMIS;0
2024.06.13;HAMIS;0
2024.06.14;HAMIS;0
2024.06.15;HAMIS;0
2024.06.16;HAMIS;0
2024.06.17;HAMIS;0
2024.06.18;HAMIS;0
2024.06.19;HAMIS;0
2024.06.20;HAMIS;0
2024.06.21;HAMIS;0
2024.06.22;HAMIS;0
2024.06.23;HAMIS;0
2024.06.24;HAMIS;0
2024.06.25;HAMIS;0
2024.06.26;HAMIS;0
2024.06.27;HAMIS;0
2024.06.28;HAMIS;0
2024.06.29;HAMIS;0
2024.06.30;HAMIS;0
2024.07.01;HAMIS;0
2024.07.02;HAMIS;0
2024.07.03;HAMIS;0
2024.07.04;HAMIS;0
2024.07.05;HAMIS;0
2024.07.06;HAMIS;0
2024.07.07;HAMIS;0
2024.07.08;IGAZ;45
2024.07.09;HAMIS;0
2024.07.10;HAMIS;0
2024.07.11;HAMIS;0
2024.07.12;IGAZ;26
2024.07.13;IGAZ;95
2024.07.14;HAMIS;0
2024.07.15;HAMIS;0
2024.07.16;HAMIS;0
2024.07.17;HAMIS;0
2024.07.18;HAMIS;0
2024.07.19;HAMIS;0
2024.07.20;HAMIS;0
2024.07.21;HAMIS;0
2024.07.22;IGAZ;96
2024.07.23;HAMIS;0
2024.07.24;HAMIS;0
2024.07.25;HAMIS;0
2024.07.26;HAMIS;0
2024.07.27;HAMIS;0
2024.07.28;HAMIS;0
2024.07.29;HAMIS;0
2024.07.30;HAMIS;0
2024.07.31;IGAZ;78
2024.08.01;HAMIS;0
2024.08.02;HAMIS;0
2024.08.03;IGAZ;70
2024.08.04;HAMIS;0
2024.08.05;HAMIS;0
2024.08.06;HAMIS;0
2024.08.07;HAMIS;0
2024.08.08;HAMIS;0
2024.08.09;HAMIS;0
2024.08.10;HAMIS;0
2024.08.11;HAMIS;0
2024.08.12;HAMIS;0
2024.08.13;HAMIS;0
2024.08.14;HAMIS;0
2024.08.15;HAMIS;0
2024.08.16;HAMIS;0
2024.08.17;HAMIS;0
2024.08.18;HAMIS;0
2024.08.19;IGAZ;61
2024.08.20;HAMIS;0
2024.08.21;IGAZ;70
2024.08.22;HAMIS;0
2024.08.23;HAMIS;0
2024.08.24;HAMIS;0
2024.08.25;HAMIS;0
2024.08.26;HAMIS;0
2024.08.27;HAMIS;0
2024.08.28;HAMIS;0
2024.08.29;HAMIS;0
2024.08.30;HAMIS;0
2024.08.31;HAMIS;0
2024.09.01;HAMIS;0
2024.09.02;HAMIS;0
2024.09.03;HAMIS;0
2024.09.04;HAMIS;0
2024.09.05;HAMIS;0
2024.09.06;HAMIS;0
2024.09.07;HAMIS;0
2024.09.08;HAMIS;0
2024.09.09;HAMIS;0
2024.09.10;HAMIS;0
2024.09.11;HAMIS;0
2024.09.12;HAMIS;0
2024.09.13;IGAZ;82
2024.09.14;HAMIS;0
2024.09.15;HAMIS;0
2024.09.16;HAMIS;0
2024.09.17;HAMIS;0
2024.09.18;HAMIS;0
2024.09.19;HAMIS;0
2024.09.20;HAMIS;0
2024.09.21;HAMIS;0
2024.09.22;HAMIS;0
2024.09.23;HAMIS;0
2024.09.24;HAMIS;0
2024.09.25;HAMIS;0
2024.09.26;HAMIS;0
2024.09.27;HAMIS;0
2024.09.28;HAMIS;0
2024.09.29;HAMIS;0
2024.09.30;HAMIS;0
2024.10.01;IGAZ;48
2024.10.02;HAMIS;0
2024.10.03;HAMIS;0
2024.10.04;HAMIS;0
2024.10.05;HAMIS;0
2024.10.06;HAMIS;0
2024.10.07;HAMIS;0
2024.10.08;IGAZ;7
2024.10.09;HAMIS;0
2024.10.10;HAMIS;0
2024.10.11;HAMIS;0
2024.10.12;HAMIS;0
2024.10.13;IGAZ;5
2024.10.14;HAMIS;0
2024.10.15;HAMIS;0
2024.10.16;IGAZ;60
2024.10.17;HAMIS;0
2024.10.18;HAMIS;0
2024.10.19;HAMIS;0
2024.10.20;HAMIS;0
2024.10.21;HAMIS;0
2024.10.22;HAMIS;0
2024.10.23;IGAZ;45
2024.10.24;IGAZ;12
2024.10.25;HAMIS;0
2024.10.26;HAMIS;0
2024.10.27;HAMIS;0
2024.10.28;HAMIS;0
2024.10.29;HAMIS;0
2024.10.30;HAMIS;0
2024.10.31;HAMIS;0
2024.11.01;HAMIS;0
2024.11.02;HAMIS;0
2024.11.03;HAMIS;0
2024.11.04;HAMIS;0
2024.11.05;HAMIS;0
2024.11.06;HAMIS;0
2024.11.07;HAMIS;0
2024.11.08;HAMIS;0
2024.11.09;HAMIS;0
2024.11.10;HAMIS;0
2024.11.11;HAMIS;0
2024.11.12;HAMIS;0
2024.11.13;HAMIS;0
2024.11.14;HAMIS;0
2024.11.15;HAMIS;0
2024.11.16;HAMIS;0
2024.11.17;HAMIS;0
2024.11.18;HAMIS;0
2024.11.19;HAMIS;0
2024.11.20;HAMIS;0
2024.11.21;HAMIS;0
2024.11.22;HAMIS;0
2024.11.23;HAMIS;0
2024.11.24;HAMIS;0
2024.11.25;HAMIS;0
2024.11.26;HAMIS;0
2024.11.27;HAMIS;0
2024.11.28;HAMIS;0
2024.11.29;HAMIS;0
2024.11.30;HAMIS;0
2024.12.01;HAMIS;0
2024.12.02;HAMIS;0
2024.12.03;HAMIS;0
2024.12.04;IGAZ;100
2024.12.05;HAMIS;0
2024.12.06;HAMIS;0
2024.12.07;HAMIS;0
2024.12.08;HAMIS;0
2024.12.09;HAMIS;0
2024.12.10;HAMIS;0
2024.12.11;HAMIS;0
2024.12.12;IGAZ;65
2024.12.13;HAMIS;0
2024.12.14;HAMIS;0
2024.12.15;HAMIS;0
2024.12.16;HAMIS;0
2024.12.17;HAMIS;0
2024.12.18;HAMIS;0
2024.12.19;HAMIS;0
2024.12.20;HAMIS;0
2024.12.21;HAMIS;0
2024.12.22;HAMIS;0
2024.12.23;HAMIS;0
2024.12.24;HAMIS;0
2024.12.25;HAMIS;0
2024.12.26;IGAZ;3
2024.12.27;IGAZ;49
2024.12.28;HAMIS;0
2024.12.29;HAMIS;0
2024.12.30;HAMIS;0
2024.12.31;HAMIS;0
